Action,Adventure,Animation,Children,Comedy,Crime,Drama,Fantasy,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War
-,-,-,-,52.0,52.0,160.0,-,-,-,-,-,55.0,-,59.0,-
-,111.0,-,120.0,120.0,-,100.0,87.0,-,-,-,-,-,-,-,-
11.0,-,-,-,12.0,-,13.0,-,-,-,-,-,-,12.0,11.0,-
9.0,9.0,-,-,8.0,-,18.0,-,-,-,-,-,9.0,-,-,-
13.0,-,-,-,20.0,-,18.0,-,-,-,-,-,12.0,-,14.0,-
-,-,-,-,21.0,26.0,54.0,-,-,-,-,-,23.0,-,33.0,-
42.0,46.0,-,-,61.0,-,40.0,31.0,-,-,-,-,-,-,-,-
67.0,53.0,-,-,56.0,-,83.0,-,-,-,-,-,-,47.0,-,-
19.0,18.0,-,-,39.0,-,45.0,-,-,-,-,-,-,-,20.0,-
48.0,43.0,-,-,33.0,-,36.0,-,-,-,-,-,-,36.0,-,-
8.0,8.0,-,-,-,5.0,9.0,-,-,-,-,-,-,-,11.0,-
-,-,-,-,14.0,15.0,47.0,-,-,-,-,-,13.0,-,11.0,-
13.0,12.0,-,-,47.0,-,46.0,-,-,-,-,-,35.0,-,-,-
56.0,47.0,-,-,53.0,-,42.0,-,-,-,-,-,-,-,40.0,-
53.0,18.0,-,-,57.0,-,27.0,-,-,-,-,-,-,-,35.0,-
-,-,-,-,29.0,-,86.0,-,-,-,-,16.0,32.0,-,20.0,-
5.0,6.0,-,7.0,12.0,-,11.0,-,-,-,-,-,-,-,-,-
47.0,35.0,-,-,38.0,-,105.0,-,-,-,-,-,-,-,40.0,-
61.0,-,-,-,48.0,48.0,83.0,-,-,-,-,-,-,-,62.0,-
29.0,18.0,-,-,19.0,-,29.0,-,-,-,-,-,-,-,27.0,-
8.0,16.0,7.0,8.0,-,-,-,13.0,-,-,-,-,-,-,-,-
8.0,7.0,-,-,-,7.0,12.0,-,-,-,-,-,-,-,14.0,-
65.0,-,-,-,134.0,-,256.0,-,-,-,-,-,101.0,-,72.0,-
14.0,11.0,-,-,13.0,-,11.0,-,-,-,-,-,-,-,13.0,-
184.0,202.0,-,-,394.0,-,337.0,-,-,-,-,-,-,185.0,-,-
9.0,10.0,-,-,6.0,6.0,-,-,-,-,-,-,-,-,8.0,-
7.0,-,-,-,7.0,7.0,18.0,-,-,-,-,-,-,-,14.0,-
14.0,-,-,-,36.0,17.0,43.0,-,-,-,-,-,-,-,22.0,-
118.0,86.0,-,-,100.0,-,114.0,-,-,-,-,-,-,-,99.0,-
-,-,-,-,20.0,10.0,28.0,-,-,-,-,-,8.0,-,8.0,-
-,-,-,5.0,9.0,-,10.0,8.0,-,-,-,-,9.0,-,-,-
11.0,12.0,-,-,21.0,-,15.0,-,-,-,-,-,12.0,-,-,-
31.0,-,-,-,19.0,25.0,47.0,-,-,-,-,-,-,-,28.0,-
-,-,-,-,27.0,-,26.0,-,63.0,-,12.0,-,-,-,36.0,-
-,9.0,-,-,38.0,-,23.0,11.0,-,-,-,-,15.0,-,-,-
-,67.0,69.0,69.0,102.0,-,77.0,-,-,-,-,-,-,-,-,-
-,31.0,-,-,42.0,-,47.0,-,-,-,-,-,28.0,-,27.0,-
19.0,-,-,-,26.0,-,56.0,-,-,-,-,-,30.0,-,27.0,-
7.0,-,-,-,12.0,-,15.0,-,-,-,-,-,-,6.0,8.0,-
38.0,30.0,-,-,75.0,-,81.0,-,-,-,-,-,36.0,-,-,-
15.0,12.0,-,-,12.0,-,13.0,-,-,-,-,-,-,-,16.0,-
19.0,-,-,-,30.0,-,43.0,-,-,-,-,-,27.0,-,23.0,-
-,11.0,-,15.0,44.0,-,14.0,-,-,-,-,-,19.0,-,-,-
42.0,30.0,-,-,31.0,12.0,-,-,-,-,-,-,-,24.0,-,-
11.0,11.0,-,-,-,-,12.0,-,-,-,-,-,-,9.0,8.0,-
22.0,-,-,-,31.0,-,57.0,-,-,-,-,-,22.0,-,-,35.0
86.0,88.0,-,-,206.0,-,273.0,-,-,-,-,-,103.0,-,-,-
-,-,-,3.0,15.0,-,13.0,-,-,-,-,-,8.0,-,4.0,-
8.0,11.0,-,-,8.0,-,26.0,-,-,-,-,-,9.0,-,-,-
9.0,8.0,-,-,8.0,-,7.0,-,-,-,-,-,-,-,8.0,-
54.0,52.0,-,-,84.0,-,58.0,39.0,-,-,-,-,-,-,-,-
21.0,-,-,-,13.0,12.0,14.0,-,-,-,-,-,-,-,23.0,-
16.0,17.0,-,-,25.0,-,29.0,-,-,-,-,-,27.0,-,-,-
82.0,88.0,-,-,121.0,-,67.0,-,-,-,-,-,-,63.0,-,-
-,21.0,-,17.0,31.0,-,42.0,-,-,-,22.0,-,-,-,-,-
12.0,8.0,-,-,14.0,-,9.0,-,-,-,-,-,-,-,9.0,-
-,72.0,70.0,-,96.0,-,125.0,-,-,-,-,-,-,-,69.0,-
133.0,108.0,-,-,115.0,-,-,-,-,-,-,-,-,93.0,88.0,-
7.0,-,-,-,-,-,12.0,-,-,-,-,-,-,6.0,9.0,5.0
-,-,-,-,134.0,40.0,113.0,-,-,-,-,-,97.0,-,49.0,-
-,9.0,-,-,12.0,-,15.0,-,-,-,-,-,10.0,-,9.0,-
6.0,-,-,-,7.0,12.0,11.0,-,-,-,-,-,-,-,8.0,-
-,13.0,-,-,-,-,22.0,18.0,-,-,-,-,12.0,-,11.0,-
21.0,-,-,-,28.0,-,23.0,-,-,-,-,-,16.0,-,27.0,-
30.0,24.0,-,-,39.0,-,16.0,-,-,-,-,-,-,-,24.0,-
5.0,5.0,-,-,13.0,-,16.0,-,-,-,-,-,-,-,5.0,-
19.0,12.0,-,-,-,16.0,29.0,-,-,-,-,-,-,-,23.0,-
-,-,-,-,19.0,11.0,49.0,-,-,-,-,-,12.0,-,10.0,-
13.0,-,-,-,-,6.0,9.0,-,-,-,-,-,5.0,-,8.0,-
105.0,-,-,-,146.0,139.0,317.0,-,-,-,-,-,-,-,167.0,-
8.0,11.0,-,-,8.0,-,12.0,7.0,-,-,-,-,-,-,-,-
21.0,-,-,-,11.0,23.0,36.0,-,-,-,-,-,-,-,28.0,-
463.0,247.0,-,-,234.0,-,312.0,-,-,-,-,-,-,-,341.0,-
170.0,-,-,-,-,-,152.0,-,143.0,-,-,-,-,122.0,201.0,-
6.0,3.0,-,-,12.0,-,13.0,-,-,-,-,-,12.0,-,-,-
101.0,86.0,-,-,80.0,-,171.0,-,-,-,-,-,-,-,108.0,-
-,-,-,-,11.0,6.0,15.0,-,-,-,-,-,8.0,-,6.0,-
5.0,-,-,-,-,8.0,18.0,-,-,-,-,-,6.0,-,8.0,-
21.0,-,-,-,19.0,16.0,27.0,-,-,-,-,-,-,-,27.0,-
100.0,123.0,-,-,171.0,-,130.0,84.0,-,-,-,-,-,-,-,-
252.0,196.0,-,-,309.0,-,230.0,-,-,-,-,-,-,-,170.0,-
15.0,14.0,-,-,14.0,-,14.0,-,-,-,-,-,-,-,19.0,-
35.0,28.0,-,-,-,-,61.0,-,-,-,-,-,-,27.0,30.0,-
282.0,214.0,-,-,349.0,-,463.0,-,-,-,-,-,-,-,316.0,-
29.0,-,-,-,16.0,22.0,39.0,-,-,-,-,-,-,-,32.0,-
26.0,-,-,-,-,33.0,57.0,-,-,-,-,-,-,35.0,49.0,-
19.0,-,-,-,24.0,13.0,12.0,-,-,-,-,-,-,-,23.0,-
-,6.0,-,-,14.0,5.0,28.0,-,-,-,-,-,11.0,-,-,-
27.0,29.0,-,-,33.0,-,47.0,-,-,-,-,-,-,26.0,-,-
17.0,21.0,-,-,11.0,-,23.0,-,-,-,-,-,-,12.0,-,-
-,13.0,-,-,100.0,-,39.0,10.0,-,-,-,-,36.0,-,-,-
17.0,-,-,-,18.0,-,41.0,-,-,-,-,-,20.0,-,22.0,-
127.0,-,-,-,184.0,-,256.0,-,-,-,-,-,120.0,-,150.0,-
34.0,27.0,-,-,32.0,-,25.0,-,-,-,-,-,-,-,33.0,-
38.0,-,-,-,36.0,20.0,36.0,-,-,-,-,-,-,-,36.0,-
100.0,70.0,-,-,93.0,-,131.0,-,-,-,-,-,-,-,86.0,-
-,-,-,-,53.0,45.0,77.0,-,-,-,-,36.0,-,-,56.0,-
26.0,27.0,-,-,21.0,-,28.0,-,-,-,-,-,-,20.0,-,-
429.0,188.0,-,-,-,-,132.0,-,-,-,-,-,-,156.0,225.0,-
-,-,-,-,35.0,-,38.0,-,17.0,-,-,-,19.0,-,24.0,-
13.0,14.0,-,-,12.0,-,15.0,-,-,-,-,-,-,-,17.0,-
6.0,7.0,-,-,8.0,-,6.0,-,-,-,-,-,-,-,8.0,-
108.0,69.0,-,-,66.0,-,71.0,-,-,-,-,-,-,-,63.0,-
106.0,68.0,-,-,-,-,-,32.0,-,-,-,-,-,68.0,58.0,-
28.0,-,-,-,43.0,40.0,115.0,-,-,-,-,-,-,-,34.0,-
34.0,19.0,-,-,17.0,-,18.0,-,-,-,-,-,-,-,26.0,-
21.0,-,-,-,60.0,-,68.0,-,-,-,-,-,41.0,-,31.0,-
14.0,-,-,-,-,15.0,21.0,-,-,-,-,8.0,-,-,18.0,-
48.0,-,-,-,66.0,38.0,81.0,-,-,-,-,-,-,-,58.0,-
12.0,11.0,-,-,10.0,-,14.0,-,-,-,-,-,-,-,15.0,-
25.0,30.0,-,-,69.0,-,64.0,-,-,-,-,-,28.0,-,-,-
11.0,8.0,-,-,5.0,-,9.0,-,-,-,-,-,-,9.0,-,-
12.0,-,-,-,22.0,-,51.0,-,-,-,-,-,26.0,-,22.0,-
69.0,79.0,-,-,89.0,-,175.0,-,-,-,-,-,73.0,-,-,-
50.0,-,-,-,67.0,-,53.0,-,-,-,-,-,31.0,-,43.0,-
6.0,-,-,-,15.0,-,37.0,-,-,-,-,-,21.0,-,11.0,-
31.0,-,-,-,31.0,-,28.0,-,-,-,-,-,23.0,-,32.0,-
-,14.0,-,-,13.0,-,25.0,11.0,-,-,-,-,16.0,-,-,-
28.0,20.0,-,-,20.0,-,74.0,-,-,-,-,-,-,-,33.0,-
21.0,19.0,-,-,-,20.0,46.0,-,-,-,-,-,-,-,23.0,-
9.0,6.0,-,-,9.0,-,15.0,-,-,-,-,-,-,-,7.0,-
379.0,272.0,-,-,434.0,-,403.0,-,-,-,-,-,-,-,311.0,-
7.0,-,-,-,10.0,-,7.0,6.0,-,-,-,-,-,-,10.0,-
40.0,34.0,-,-,39.0,-,-,-,-,-,-,-,-,33.0,26.0,-
17.0,13.0,-,-,11.0,12.0,-,-,-,-,-,-,-,-,16.0,-
22.0,18.0,-,-,45.0,-,46.0,-,-,-,-,-,34.0,-,-,-
34.0,20.0,-,-,27.0,-,23.0,-,-,-,-,-,-,-,33.0,-
10.0,7.0,-,-,7.0,-,17.0,-,-,-,-,-,-,-,9.0,-
590.0,-,-,-,734.0,506.0,1107.0,-,-,-,-,-,-,-,600.0,-
21.0,-,-,-,23.0,19.0,39.0,-,-,-,-,-,-,-,34.0,-
138.0,121.0,-,-,144.0,-,121.0,-,-,-,-,-,80.0,-,-,-
444.0,-,-,-,323.0,-,306.0,-,-,-,-,-,-,349.0,355.0,-
28.0,15.0,-,-,26.0,-,13.0,-,-,-,-,-,-,-,31.0,-
-,24.0,-,-,36.0,22.0,36.0,-,-,-,-,-,21.0,-,-,-
4.0,-,-,-,10.0,-,9.0,-,-,-,-,-,5.0,-,3.0,-
15.0,14.0,-,-,28.0,-,25.0,-,-,-,-,-,16.0,-,-,-
16.0,-,-,-,-,14.0,31.0,-,-,-,-,-,-,12.0,15.0,-
8.0,7.0,-,-,-,-,15.0,-,-,-,-,-,-,16.0,11.0,-
5.0,6.0,-,-,12.0,-,10.0,-,-,-,-,-,4.0,-,-,-
134.0,75.0,-,-,88.0,-,173.0,-,-,-,-,-,-,-,102.0,-
3.0,-,-,-,20.0,4.0,10.0,-,-,-,-,-,10.0,-,-,-
-,54.0,-,57.0,84.0,-,116.0,-,-,-,-,-,85.0,-,-,-
-,9.0,-,-,13.0,-,13.0,12.0,-,-,-,-,-,5.0,-,-
40.0,-,-,-,31.0,23.0,29.0,-,-,-,-,-,-,-,39.0,-
-,19.0,-,-,35.0,-,34.0,19.0,-,-,-,-,28.0,-,-,-
390.0,-,-,-,418.0,277.0,586.0,-,-,-,-,-,-,-,369.0,-
18.0,-,-,-,21.0,30.0,52.0,-,-,-,-,-,-,-,31.0,-
-,4.0,-,4.0,14.0,-,9.0,-,-,-,-,-,7.0,-,-,-
7.0,-,-,-,25.0,-,21.0,-,-,-,-,-,24.0,-,7.0,-
-,9.0,-,-,30.0,-,45.0,9.0,-,-,-,-,27.0,-,-,-
-,50.0,-,-,140.0,47.0,162.0,-,-,-,-,-,67.0,-,-,-
14.0,-,-,-,92.0,12.0,35.0,-,-,-,-,-,28.0,-,-,-
15.0,12.0,-,-,20.0,-,25.0,-,-,-,-,-,-,-,18.0,-
12.0,-,-,-,-,11.0,15.0,-,-,5.0,-,-,-,-,13.0,-
115.0,66.0,-,-,196.0,-,74.0,-,-,-,-,-,-,-,65.0,-
89.0,68.0,-,-,201.0,-,95.0,-,-,-,-,-,105.0,-,-,-
6.0,-,6.0,-,18.0,-,16.0,-,-,-,-,-,12.0,-,-,-
7.0,-,-,5.0,14.0,4.0,-,-,-,-,-,-,5.0,-,-,-
6.0,-,-,-,14.0,-,13.0,-,5.0,-,-,-,-,-,7.0,-
15.0,9.0,-,-,-,11.0,14.0,-,-,-,-,-,-,-,16.0,-
17.0,21.0,-,-,28.0,-,37.0,-,-,-,-,-,-,-,21.0,-
13.0,10.0,-,-,9.0,10.0,-,-,-,-,-,-,-,-,11.0,-
23.0,13.0,-,-,21.0,-,26.0,-,-,-,-,-,-,-,22.0,-
76.0,67.0,-,-,80.0,-,91.0,-,-,-,-,-,-,-,66.0,-
5.0,-,-,-,12.0,-,11.0,5.0,-,-,-,-,13.0,-,-,-
62.0,64.0,-,-,90.0,-,90.0,-,-,-,-,-,-,48.0,-,-
9.0,11.0,-,-,18.0,-,13.0,-,-,-,-,-,-,12.0,-,-
9.0,11.0,-,-,8.0,-,9.0,-,-,-,-,-,6.0,-,-,-
25.0,18.0,-,-,32.0,-,24.0,-,-,-,-,-,-,-,17.0,-
45.0,-,-,-,36.0,-,89.0,-,-,-,-,-,47.0,-,42.0,-
-,5.0,-,-,11.0,8.0,11.0,-,-,-,-,-,-,-,7.0,-
-,60.0,62.0,58.0,87.0,-,84.0,-,-,-,-,-,-,-,-,-
8.0,5.0,-,-,15.0,-,9.0,-,-,-,-,-,8.0,-,-,-
-,-,-,-,7.0,4.0,19.0,-,-,-,-,-,6.0,-,7.0,-
11.0,-,-,-,10.0,20.0,45.0,-,-,-,-,-,-,-,18.0,-
18.0,-,-,-,24.0,-,54.0,-,-,-,-,-,42.0,-,32.0,-
52.0,40.0,-,-,47.0,-,70.0,-,-,-,-,-,-,-,52.0,-
11.0,12.0,-,-,13.0,-,11.0,-,-,-,-,-,-,-,10.0,-
26.0,29.0,-,-,-,-,-,-,-,16.0,-,-,-,29.0,17.0,-
8.0,7.0,-,-,21.0,-,20.0,-,-,-,-,-,14.0,-,-,-
16.0,21.0,-,-,33.0,-,28.0,-,-,-,-,-,-,-,17.0,-
29.0,23.0,-,-,41.0,-,29.0,-,-,-,-,-,21.0,-,-,-
77.0,44.0,-,-,61.0,-,76.0,-,-,-,-,-,-,-,68.0,-
72.0,39.0,-,-,-,-,36.0,-,-,-,-,-,-,37.0,52.0,-
7.0,6.0,-,-,9.0,-,-,-,-,-,-,-,6.0,-,8.0,-
14.0,22.0,-,-,14.0,-,22.0,-,-,-,-,-,-,15.0,-,-
15.0,16.0,-,-,26.0,-,17.0,-,-,-,-,-,13.0,-,-,-
6.0,6.0,-,-,8.0,-,7.0,-,-,-,-,-,-,-,7.0,-
44.0,31.0,-,-,35.0,-,37.0,-,-,-,-,-,-,27.0,-,-
41.0,-,-,-,26.0,28.0,33.0,-,-,-,-,-,-,-,41.0,-
18.0,13.0,-,-,-,7.0,19.0,-,-,-,-,-,-,-,14.0,-
61.0,41.0,-,-,41.0,-,68.0,-,-,-,-,-,-,-,62.0,-
24.0,20.0,-,-,32.0,-,36.0,-,-,-,-,-,23.0,-,-,-
10.0,7.0,-,-,7.0,-,9.0,-,-,-,-,-,-,-,11.0,-
88.0,30.0,-,-,-,-,31.0,-,-,-,-,-,-,27.0,62.0,-
11.0,-,-,-,23.0,-,43.0,-,-,-,-,-,11.0,-,11.0,-
16.0,10.0,-,-,16.0,-,7.0,-,-,-,-,-,-,-,12.0,-
26.0,19.0,-,14.0,23.0,-,23.0,-,-,-,-,-,-,-,-,-
62.0,69.0,-,-,78.0,-,90.0,-,-,-,-,-,-,-,46.0,-
33.0,32.0,-,-,16.0,-,12.0,-,-,-,-,-,-,32.0,-,-
-,88.0,-,-,198.0,102.0,260.0,-,-,-,-,-,-,-,142.0,-
41.0,59.0,36.0,-,85.0,-,65.0,-,-,-,-,-,-,-,-,-
88.0,-,-,-,62.0,-,100.0,-,-,-,-,-,-,54.0,91.0,-
7.0,3.0,-,-,21.0,-,9.0,-,-,-,-,-,9.0,-,-,-
23.0,-,-,-,26.0,29.0,51.0,-,-,-,-,-,-,-,36.0,-
58.0,51.0,-,-,-,-,-,-,-,35.0,-,-,-,37.0,30.0,-
13.0,12.0,-,-,9.0,-,13.0,-,-,-,-,-,-,-,16.0,-
36.0,-,-,-,-,30.0,71.0,-,-,-,-,-,-,-,30.0,30.0
-,-,-,-,15.0,-,13.0,-,6.0,-,-,-,10.0,-,7.0,-
13.0,9.0,-,-,26.0,-,12.0,-,-,-,-,-,-,-,15.0,-
14.0,10.0,-,-,10.0,-,10.0,-,-,-,-,-,-,-,11.0,-
132.0,77.0,-,-,-,-,89.0,-,-,-,-,-,-,88.0,111.0,-
103.0,-,-,-,115.0,-,165.0,-,99.0,-,-,-,-,-,165.0,-
33.0,-,-,-,38.0,-,56.0,-,-,-,-,-,21.0,-,31.0,-
71.0,61.0,-,-,92.0,-,81.0,-,-,-,-,-,-,-,40.0,-
48.0,26.0,-,-,68.0,-,37.0,-,-,-,-,-,-,-,46.0,-
43.0,-,-,-,82.0,-,92.0,-,-,-,-,-,36.0,-,48.0,-
12.0,10.0,-,-,66.0,-,14.0,-,-,-,-,-,24.0,-,-,-
-,7.0,-,-,18.0,7.0,26.0,-,-,-,-,-,11.0,-,-,-
53.0,36.0,-,-,-,34.0,61.0,-,-,-,-,-,-,-,53.0,-
-,-,-,-,6.0,7.0,17.0,-,-,-,-,-,4.0,-,7.0,-
14.0,17.0,-,11.0,12.0,-,11.0,-,-,-,-,-,-,-,-,-
-,12.0,-,13.0,16.0,-,7.0,9.0,-,-,-,-,-,-,-,-
4.0,-,-,-,14.0,7.0,10.0,-,-,-,-,-,-,-,5.0,-
37.0,45.0,-,36.0,100.0,-,57.0,-,-,-,-,-,-,-,-,-
90.0,-,-,-,129.0,-,155.0,-,-,-,-,-,78.0,-,95.0,-
24.0,15.0,-,-,21.0,-,18.0,-,-,-,-,-,-,-,26.0,-
59.0,-,-,-,37.0,-,46.0,-,-,-,-,-,-,34.0,47.0,-
27.0,-,-,-,55.0,-,79.0,-,-,-,-,-,42.0,-,31.0,-
7.0,9.0,-,-,10.0,-,14.0,-,-,-,-,-,-,-,8.0,-
251.0,229.0,-,-,319.0,-,183.0,-,-,-,-,-,-,-,176.0,-
157.0,-,-,-,178.0,-,136.0,-,-,-,-,-,-,109.0,118.0,-
46.0,30.0,-,-,25.0,-,-,-,26.0,-,-,-,-,-,32.0,-
-,-,-,-,45.0,27.0,83.0,-,-,-,-,-,25.0,-,27.0,-
35.0,19.0,-,-,33.0,-,32.0,-,-,-,-,-,-,-,36.0,-
20.0,-,-,-,8.0,-,11.0,-,-,-,-,-,-,10.0,14.0,-
-,10.0,-,-,26.0,-,24.0,-,-,-,-,-,18.0,-,12.0,-
282.0,184.0,-,-,331.0,-,265.0,-,-,-,-,-,-,-,193.0,-
84.0,69.0,-,-,127.0,-,208.0,-,-,-,-,-,81.0,-,-,-
102.0,-,-,-,162.0,85.0,149.0,-,-,-,-,-,-,-,105.0,-
9.0,-,-,-,13.0,-,8.0,-,-,-,-,-,6.0,-,10.0,-
10.0,8.0,-,-,-,-,10.0,-,-,-,-,-,8.0,-,11.0,-
9.0,-,-,-,24.0,-,11.0,-,-,-,-,-,15.0,-,12.0,-
15.0,13.0,-,-,17.0,-,25.0,-,-,-,-,-,-,-,23.0,-
72.0,52.0,-,-,-,56.0,102.0,-,-,-,-,-,-,-,72.0,-
590.0,-,-,-,1063.0,-,1545.0,-,-,-,-,-,686.0,-,720.0,-
185.0,-,-,-,367.0,132.0,247.0,-,-,-,-,-,-,-,137.0,-
57.0,22.0,-,-,33.0,13.0,-,-,-,-,-,-,-,-,35.0,-
43.0,33.0,-,-,77.0,-,87.0,-,-,-,-,-,-,-,54.0,-
14.0,-,-,-,20.0,-,26.0,-,-,-,-,-,12.0,-,21.0,-
69.0,48.0,-,-,108.0,-,62.0,-,-,-,-,-,-,-,58.0,-
30.0,29.0,-,-,44.0,-,31.0,-,-,-,-,-,51.0,-,-,-
20.0,9.0,-,-,5.0,-,-,-,-,-,-,-,-,25.0,13.0,-
201.0,101.0,-,-,-,-,75.0,-,-,-,-,-,-,61.0,114.0,-
-,-,-,-,104.0,29.0,182.0,-,-,-,-,-,71.0,-,30.0,-
13.0,12.0,-,-,11.0,-,9.0,-,-,-,-,-,-,-,13.0,-
52.0,53.0,-,-,63.0,-,55.0,-,-,-,-,-,-,-,33.0,-
18.0,-,-,-,12.0,-,21.0,-,-,-,-,-,11.0,-,16.0,-
38.0,54.0,-,-,95.0,-,94.0,-,-,-,-,-,51.0,-,-,-
51.0,-,-,-,77.0,37.0,73.0,-,-,-,-,-,47.0,-,-,-
243.0,161.0,-,-,248.0,-,172.0,-,-,-,-,-,-,147.0,-,-
44.0,27.0,-,-,-,30.0,43.0,-,-,-,-,-,-,-,41.0,-
20.0,-,-,-,20.0,20.0,40.0,-,-,-,-,-,-,-,26.0,-
8.0,-,-,-,13.0,11.0,33.0,-,-,-,-,-,-,-,25.0,-
14.0,17.0,-,-,25.0,-,-,-,-,-,-,-,14.0,-,14.0,-
10.0,10.0,-,-,8.0,-,-,-,-,-,-,-,6.0,-,7.0,-
5.0,-,-,-,17.0,8.0,35.0,-,-,-,-,-,11.0,-,-,-
91.0,97.0,-,-,198.0,-,144.0,-,-,-,-,-,-,-,91.0,-
15.0,10.0,-,-,-,-,13.0,-,-,-,-,-,-,23.0,15.0,-
242.0,-,-,-,-,-,142.0,-,118.0,-,-,-,-,131.0,219.0,-
78.0,119.0,-,-,180.0,-,304.0,-,-,-,-,-,133.0,-,-,-
-,-,-,-,55.0,30.0,172.0,-,-,-,-,-,34.0,-,26.0,-
49.0,41.0,-,-,-,-,43.0,-,-,-,-,-,-,44.0,30.0,-
-,-,-,-,77.0,42.0,154.0,-,-,-,-,-,62.0,-,70.0,-
31.0,23.0,-,-,-,-,24.0,-,-,-,-,-,-,16.0,13.0,-
-,-,-,-,158.0,48.0,249.0,-,-,-,-,-,106.0,-,62.0,-
49.0,-,-,-,-,28.0,82.0,-,-,-,-,-,-,46.0,50.0,-
261.0,220.0,-,-,432.0,-,455.0,-,-,-,-,-,-,-,262.0,-
14.0,5.0,-,-,7.0,7.0,-,-,-,-,-,-,-,-,9.0,-
-,9.0,-,-,18.0,-,13.0,-,-,-,-,-,12.0,-,8.0,-
52.0,33.0,-,-,-,39.0,71.0,-,-,-,-,-,-,-,51.0,-
55.0,35.0,-,-,-,42.0,99.0,-,-,-,-,-,-,-,51.0,-
28.0,26.0,-,-,-,-,18.0,-,-,-,-,-,-,57.0,23.0,-
18.0,-,-,-,25.0,-,23.0,-,-,-,-,-,16.0,-,19.0,-
113.0,69.0,-,-,-,-,43.0,-,-,-,-,-,-,59.0,74.0,-
122.0,73.0,-,-,-,100.0,236.0,-,-,-,-,-,-,-,143.0,-
23.0,-,-,-,56.0,24.0,57.0,-,-,-,-,-,-,-,29.0,-
41.0,32.0,-,-,30.0,-,41.0,-,-,-,-,-,-,-,28.0,-
8.0,-,-,-,8.0,-,10.0,-,-,-,-,-,7.0,-,9.0,-
70.0,-,-,-,39.0,58.0,119.0,-,-,-,-,-,-,-,75.0,-
33.0,-,-,-,40.0,-,48.0,-,-,-,-,-,27.0,-,38.0,-
14.0,-,-,-,16.0,-,12.0,10.0,-,-,-,-,-,-,15.0,-
185.0,117.0,-,-,100.0,-,108.0,-,-,-,-,-,-,-,117.0,-
8.0,9.0,-,-,35.0,-,41.0,-,-,-,-,-,25.0,-,-,-
6.0,-,-,7.0,14.0,-,9.0,-,-,-,-,-,-,-,10.0,-
65.0,45.0,-,-,-,-,49.0,-,-,-,-,-,-,38.0,51.0,-
16.0,10.0,-,-,22.0,-,35.0,-,-,-,-,-,39.0,-,-,-
426.0,-,-,-,360.0,270.0,458.0,-,-,-,-,-,-,-,372.0,-
58.0,53.0,-,-,78.0,-,88.0,-,-,-,-,-,-,-,44.0,-
11.0,13.0,-,13.0,11.0,-,15.0,-,-,-,-,-,-,-,-,-
-,9.0,-,-,13.0,8.0,8.0,-,-,-,-,-,-,-,11.0,-
-,-,-,-,11.0,12.0,38.0,-,-,-,-,-,9.0,-,11.0,-
-,49.0,-,37.0,67.0,-,69.0,41.0,-,-,-,-,-,-,-,-
53.0,51.0,-,-,46.0,-,67.0,-,-,-,-,-,-,-,36.0,-
-,12.0,-,-,17.0,-,40.0,-,-,-,-,14.0,-,-,14.0,-
7.0,-,-,-,8.0,-,9.0,-,-,-,-,7.0,-,-,11.0,-
-,19.0,-,-,57.0,16.0,58.0,-,-,-,-,-,27.0,-,-,-
50.0,51.0,-,-,31.0,-,-,-,-,-,-,-,-,47.0,26.0,-
8.0,4.0,-,-,11.0,-,10.0,-,-,-,-,-,-,-,6.0,-
10.0,-,-,-,-,10.0,24.0,-,-,-,-,-,8.0,-,8.0,-
7.0,-,-,-,20.0,-,20.0,-,-,-,-,-,10.0,-,9.0,-
40.0,-,-,-,-,20.0,21.0,-,-,-,-,-,-,27.0,29.0,-
80.0,-,-,-,81.0,49.0,78.0,-,-,-,-,-,-,-,57.0,-
6.0,-,-,-,12.0,12.0,14.0,-,-,-,-,-,-,-,15.0,-
28.0,19.0,-,-,35.0,-,27.0,-,-,-,-,-,-,-,24.0,-
4.0,5.0,-,-,4.0,-,13.0,-,-,-,-,-,-,-,5.0,-
43.0,27.0,-,-,26.0,-,48.0,-,-,-,-,-,-,-,31.0,-
47.0,-,-,-,30.0,42.0,31.0,-,-,-,-,-,-,-,42.0,-
12.0,10.0,-,-,12.0,-,10.0,-,-,-,-,-,-,-,12.0,-
25.0,17.0,-,-,20.0,-,16.0,-,-,-,-,-,-,-,18.0,-
-,86.0,-,116.0,168.0,-,85.0,-,-,-,-,-,73.0,-,-,-
-,12.0,-,-,37.0,-,32.0,12.0,-,-,-,-,13.0,-,-,-
-,-,-,-,20.0,14.0,80.0,-,-,-,-,-,22.0,-,15.0,-
8.0,-,-,-,9.0,7.0,6.0,-,-,-,-,-,-,-,10.0,-
10.0,9.0,-,-,7.0,-,7.0,-,-,-,-,-,-,-,10.0,-
27.0,41.0,-,-,63.0,-,51.0,-,-,-,-,-,32.0,-,-,-
46.0,33.0,-,-,51.0,-,30.0,-,-,-,-,-,-,-,39.0,-
-,16.0,-,14.0,39.0,-,33.0,-,-,-,-,-,-,16.0,-,-
7.0,5.0,-,-,15.0,-,12.0,-,4.0,-,-,-,-,-,-,-
96.0,68.0,-,-,91.0,-,144.0,-,-,-,-,-,-,-,89.0,-
-,-,-,-,5.0,4.0,15.0,-,-,-,-,-,5.0,-,6.0,-
